Hours,Censoring Indicator,Truncation Hours,Truncation Indicator
18857,Right,7485,Left
12676,Failed,7466,Left
18857,Failed,7486,Left
20590,Right,7466,Left
20593,Right,7467,Left
18857,Right,7484,Left
20591,Right,7466,Left
18857,Failed,7484,Left
21069,Right,7992,Left
21070,Right,7992,Left
20401,Right,8359,Left
19316,Right,7942,Left
21641,Right,7865,Left
19287,Right,8037,Left
19864,Failed,7485,Left
20404,Right,8360,Left
19007,Right,7946,Left
19028,Failed,7922,Left
21637,Right,7865,Left
14065,Failed,8356,Left
19241,Right,8035,Left
17198,Failed,7485,Left
14308,Failed,7922,Left
21073,Right,7993,Left
21650,Failed,8356,Left
21107,Right,8010,Left
19223,Failed,8337,Left
20403,Right,8360,Left
19313,Right,7942,Left
19864,Right,7485,Left
21004,Right,5726,Left
21072,Right,7994,Left
21108,Right,8010,Left
21772,Right,7998,Left
8101,Failed,7998,Left
19288,Right,8038,Left
21642,Right,7865,Left
21794,Right,8356,Left
21639,Right,7865,Left
18854,Right,7484,Left
19288,Right,8038,Left
15622,Failed,8356,Left
19314,Right,7942,Left
20403,Right,8360,Left
21770,Right,7999,Left
21639,Right,7865,Left
19004,Right,7945,Left
19102,Right,7897,Left
20403,Right,8360,Left
19440,Failed,8356,Left
20402,Right,8359,Left
19315,Right,7942,Left
15218,Failed,8357,Left
19242,Right,8035,Left
21637,Right,7864,Left
19285,Right,8036,Left
19318,Failed,7943,Left
19242,Right,8035,Left
19285,Right,8037,Left
19003,Failed,7945,Left
21642,Right,7865,Left
19101,Right,7896,Left
21640,Right,7865,Left
20400,Right,8359,Left
19243,Right,8035,Left
19008,Failed,7946,Left
19287,Right,8038,Left
20404,Right,8360,Left
21790,Right,8355,Left
19316,Right,7943,Left
21795,Right,8356,Left
16742,Failed,8034,Left
19239,Right,8034,Left
19287,Right,8038,Left
19287,Right,8038,Left
21795,Right,8356,Left
19285,Failed,8037,Left
19238,Right,8034,Left
19102,Right,7896,Left
19285,Right,8037,Left
21768,Right,7998,Left
12504,Failed,7864,Left
20401,Right,8359,Left
21790,Right,8355,Left
21790,Right,8355,Left
19242,Right,8035,Left
19105,Failed,8359,Left
18471,Failed,8034,Left
21792,Right,8356,Left
14074,Failed,8355,Left
21639,Right,7864,Left
19238,Right,8032,Left
19287,Right,8037,Left
19288,Right,8038,Left
19287,Right,8038,Left
19313,Failed,7942,Left
21790,Right,8355,Left
21638,Right,7864,Left
19288,Right,8038,Left
20400,Right,8359,Left
20102,Right,2111,Left
17232,Failed,6471,Left
16136,Failed,6541,Left
17973,Failed,6483,Left
18727,Right,6483,Left
14673,Failed,6472,Left
18724,Right,6482,Left
12031,Right,658,Left
1559,Failed,1305,Left
17232,Failed,6471,Left
13541,Right,441,Left
11117,Failed,9,Left
18123,Failed,6438,Left
20073,Failed,6485,Left
19815,Right,6522,Left
18849,Right,6545,Left
17234,Failed,6471,Left
16875,Failed,6472,Left
18362,Right,6489,Left
21072,Right,7994,Left
21072,Right,7994,Left
17237,Right,6472,Left
21073,Right,7994,Left
21069,Right,7992,Left
16985,Failed,7993,Left
21072,Right,7994,Left
21070,Failed,7993,Left
9236,Failed,7994,Left
17922,Failed,7993,Left
21072,Right,7994,Left
21070,Right,7993,Left
16114,Failed,1979,Left
17033,Failed,7993,Left
18632,Failed,7001,Left
19812,Right,6521,Left
18599,Right,6966,Left
19816,Right,6523,Left
16594,Failed,6522,Left
14229,Failed,7002,Left
19815,Failed,6522,Left
17232,Right,6471,Left
19329,Failed,6541,Left
18633,Right,7001,Left
18601,Failed,6967,Left
21069,Right,7992,Left
21073,Right,7994,Left
21071,Right,7993,Left
16487,Right,5723,Left
18362,Right,6489,Left
21736,Right,6485,Left
21736,Right,6484,Left
19332,Right,6542,Left
19328,Failed,6541,Left
18926,Right,6546,Left
18364,Failed,6490,Left
18494,Right,6546,Left
17242,Failed,6523,Left
16693,Failed,6524,Left
17234,Right,6471,Left
18009,Failed,6545,Left
18595,Failed,6965,Left
19327,Failed,6540,Left
13569,Failed,6522,Left
15166,Failed,6966,Left
18361,Right,6489,Left
7340,Failed,6524,Left
14539,Failed,6482,Left
16474,Failed,6545,Left
26350,Failed,6444,Left
19814,Right,6522,Left
17236,Right,6472,Left
19814,Failed,6524,Left
17234,Right,6471,Left
21736,Right,6485,Left
15240,Failed,6967,Left
21739,Right,6485,Left
7712,Failed,6489,Left
14627,Failed,6522,Left
14768,Failed,6485,Left
18634,Failed,7001,Left
9624,Right,6485,Left
21738,Right,6485,Left
18601,Right,6966,Left
18601,Failed,6967,Left
21736,Right,6485,Left
17909,Failed,6439,Left
18634,Right,7001,Left
16489,Failed,6966,Left
18602,Right,6967,Left
17711,Failed,6966,Left
18597,Failed,6966,Left
17234,Right,6471,Left
18723,Failed,6482,Left
18633,Failed,7001,Left
18946,Right,6545,Left
18726,Right,6482,Left
18723,Right,6482,Left
17578,Failed,6545,Left
18637,Right,7003,Left
19334,Failed,6545,Left
18723,Failed,6482,Left
18723,Right,6482,Left
15381,Failed,6483,Left
17856,Failed,6482,Left
18727,Right,6483,Left
19354,Failed,6545,Left
17433,Failed,6545,Left
18602,Right,6967,Left
28124,Right,6442,Left
19733,Right,6301,Left
19328,Right,6541,Left
18361,Right,6488,Left
19815,Right,6522,Left
15542,Right,1137,Left
18945,Right,6545,Left
17236,Failed,6472,Left
18598,Failed,6965,Left
19329,Right,6541,Left
14526,Failed,6484,Left
28120,Right,6439,Left
18599,Failed,6966,Left
19325,Failed,6438,Left
14671,Failed,6471,Left
18599,Failed,6965,Left
17791,Failed,6443,Left
13379,Failed,6482,Left
17171,Failed,6522,Left
18598,Right,6966,Left
17234,Right,6471,Left
18724,Right,6482,Left
11677,Failed,6541,Left
18362,Right,6489,Left
8188,Failed,6966,Left
18536,Failed,6541,Left
19814,Right,6522,Left
18723,Right,6482,Left
14314,Failed,6545,Left
19332,Right,6542,Left
18632,Failed,7001,Left
16701,Failed,6965,Left
14529,Failed,6485,Left
18637,Right,7002,Left
18599,Failed,6966,Left
14698,Failed,6485,Left
15240,Failed,6966,Left
18601,Failed,6966,Left
21740,Right,6485,Left
16487,Failed,6966,Left
18601,Failed,6966,Left
14523,Failed,6485,Left
13352,Failed,6482,Left
16638,Right,3010,Left
18598,Right,6966,Left
18725,Failed,6483,Left
21197,Failed,6439,Left
16774,Failed,6483,Left
13228,Failed,6484,Left
21730,Right,6484,Left
16800,Failed,6967,Left
11364,Failed,6484,Left
18599,Right,6965,Left
18361,Right,6489,Left
19352,Right,6545,Left
17233,Right,6470,Left
16485,Failed,6965,Left
18721,Right,6481,Left
19582,Right,6484,Left
19330,Right,6541,Left
17156,Failed,6965,Left
18636,Right,7002,Left
19584,Right,6485,Left
18361,Failed,6488,Left
18361,Right,6488,Left
15877,Failed,6524,Left
19328,Right,6541,Left
11231,Failed,6545,Left
19582,Failed,6484,Left
19329,Right,6541,Left
18634,Failed,7002,Left
18634,Right,7001,Left
15416,Failed,6522,Left
12763,Failed,6545,Left
19314,Right,6526,Left
17233,Failed,6470,Left
14519,Failed,6523,Left
18360,Right,6488,Left
21734,Right,6484,Left
18725,Right,6482,Left
18722,Failed,6482,Left
18361,Failed,6489,Left
21735,Right,6485,Left
18637,Right,7003,Left
18854,Right,8,Left
19840,Right,9,Left
9711,Right,10,Left
22177,Right,156,Left
17275,Right,129,Left
5290,Failed,2457,Left
19354,Right,6545,Left
18363,Right,6490,Left
15186,Failed,6482,Left
18727,Right,6483,Left
19586,Failed,6485,Left
19330,Right,6541,Left
19814,Right,6522,Left
17233,Failed,6471,Left
19583,Right,6483,Left
17234,Right,6471,Left
19330,Right,6541,Left
19355,Failed,6545,Left
19814,Right,6522,Left
19353,Right,6545,Left
19817,Failed,6523,Left
21733,Right,6484,Left
19357,Right,6546,Left
13184,Failed,6484,Left
15271,Failed,6541,Left
18222,Failed,6484,Left
19354,Failed,6545,Left
19817,Right,6524,Left
19333,Right,6542,Left
18949,Right,6546,Left
21735,Right,6484,Left
18726,Failed,6483,Left
17234,Right,6471,Left
19353,Right,6545,Left
19815,Failed,6523,Left
7686,Failed,6541,Left
19352,Right,6545,Left
18634,Right,7001,Left
18597,Right,6965,Left
19328,Failed,6540,Left
19219,Right,6432,Left
14574,Failed,6471,Left
19329,Right,6541,Left
21736,Right,6484,Left
19329,Right,6541,Left
19582,Right,6483,Left
19581,Right,6483,Left
17233,Right,6470,Left
19812,Failed,6521,Left
21735,Right,6484,Left
19329,Right,6541,Left
19582,Right,6483,Left
19586,Right,6485,Left
19355,Right,6545,Left
18361,Right,6489,Left
19329,Failed,6541,Left
15991,Failed,6541,Left
17576,Failed,6545,Left
19582,Right,6483,Left
19582,Right,6483,Left
19581,Right,6483,Left
21731,Failed,6438,Left
21734,Right,6484,Left
18360,Right,6488,Left
19812,Right,6521,Left
8235,Failed,7002,Left
19586,Right,6485,Left
18944,Right,6545,Left
18360,Right,6488,Left
18597,Failed,6965,Left
19812,Right,6522,Left
21735,Right,6484,Left
14958,Failed,6541,Left
18634,Right,7001,Left
17604,Failed,6546,Left
11627,Failed,6484,Left
19353,Failed,6545,Left
19812,Failed,6523,Left
19328,Right,6540,Left
19329,Right,6541,Left
18945,Right,6545,Left
18361,Right,6489,Left
21739,Right,6485,Left
14695,Failed,6484,Left
19329,Failed,6541,Left
19581,Right,6483,Left
19355,Right,6545,Left
7466,Failed,6482,Left
19812,Failed,6523,Left
19329,Right,6541,Left
19329,Right,6541,Left
19581,Right,6483,Left
21734,Right,6484,Left
19812,Failed,6522,Left
19581,Right,6483,Left
18723,Failed,6482,Left
17061,Failed,6484,Left
18777,Right,6545,Left
28407,Right,6442,Left
18597,Right,6965,Left
17233,Right,6470,Left
18721,Right,6481,Left
21664,Right,6484,Left
13067,Failed,6545,Left
19329,Right,6541,Left
18360,Right,6488,Left
19581,Right,6483,Left
18362,Right,6488,Left
19354,Right,6545,Left
7272,Failed,6521,Left
18246,Failed,6484,Left
19813,Failed,6521,Left
19581,Right,6483,Left
17016,Failed,6438,Left
18362,Right,6488,Left
19329,Right,6541,Left
15077,Failed,6471,Left
18945,Right,6545,Left
19580,Right,6483,Left
19476,Right,6522,Left
19581,Right,6483,Left
17600,Failed,6545,Left
18361,Right,6489,Left
17232,Right,6471,Left
17233,Right,6471,Left
18723,Failed,6481,Left
18360,Right,6488,Left
18721,Right,6482,Left
19582,Right,6483,Left
18633,Right,7001,Left
17233,Right,6471,Left
19812,Right,6521,Left
21733,Right,6484,Left
21734,Right,6484,Left
18360,Right,6488,Left
19328,Failed,6541,Left
18533,Failed,6484,Left
18361,Right,6489,Left
19581,Right,6483,Left
18632,Right,7000,Left
18360,Right,6488,Left
21730,Right,6484,Left
19328,Right,6540,Left
18715,Right,6482,Left
19583,Failed,6484,Left
11729,Right,10,Left
16334,Right,10,Left
16033,Failed,1009,Left
22653,Failed,6441,Left
18080,Right,5172,Left
17238,Failed,6302,Left
28759,Right,6282,Left
11046,Failed,9,Left
24987,Right,5813,Left
18514,Failed,5702,Left
28754,Right,6281,Left
22096,Right,5813,Left
24454,Failed,6281,Left
23249,Right,5814,Left
28753,Right,6280,Left
12695,Failed,5849,Left
28754,Right,6280,Left
23249,Right,5814,Left
26333,Right,5850,Left
18033,Failed,6281,Left
15530,Failed,6301,Left
19736,Right,6301,Left
19735,Right,6301,Left
19739,Right,6302,Left
27962,Right,6281,Left
19737,Right,6301,Left
23250,Right,5814,Left
18080,Right,5172,Left
26329,Right,5849,Left
18726,Right,5143,Left
28753,Right,6280,Left
19738,Right,6302,Left
19735,Right,6301,Left
21836,Failed,6280,Left
26330,Right,5849,Left
19736,Right,6301,Left
28755,Right,6280,Left
18079,Right,5172,Left
26331,Right,5850,Left
26331,Right,5850,Left
19737,Right,6301,Left
23231,Failed,6281,Left
23762,Failed,5850,Left
24149,Failed,5850,Left
15388,Failed,6301,Left
20252,Failed,5878,Left
26327,Failed,6281,Left
28756,Right,6281,Left
26332,Right,5850,Left
19735,Right,6301,Left
26331,Right,5850,Left
24958,Failed,6281,Left
26117,Failed,5850,Left
13433,Right,12,Left
26332,Right,5849,Left
19739,Right,6302,Left
18226,Right,5148,Left
28759,Right,6282,Left
20854,Right,3700,Left
19740,Right,6302,Left
17003,Right,4960,Left
14617,Right,9,Left
19737,Right,6301,Left
18032,Failed,6280,Left
26040,Failed,6281,Left
19736,Right,6301,Left
13342,Failed,6281,Left
20057,Right,6303,Left
23330,Failed,5850,Left
28086,Failed,6281,Left
19223,Failed,5851,Left
25669,Right,3874,Left
18825,Failed,4931,Left
16755,Failed,5144,Left
15143,Failed,4852,Left
17501,Failed,4596,Left
17970,Right,4896,Left
7711,Failed,6149,Left
23250,Right,5814,Left
19736,Right,6301,Left
28754,Right,6281,Left
17169,Failed,6303,Left
18225,Right,5149,Left
20850,Right,3699,Left
17519,Failed,6149,Left
17900,Right,4991,Left
18080,Failed,5172,Left
20057,Failed,6303,Left
24657,Failed,6149,Left
21540,Right,6299,Left
18225,Right,5147,Left
20060,Right,6304,Left
13995,Failed,6298,Left
18222,Right,5146,Left
17978,Right,5067,Left
26701,Right,6150,Left
19474,Right,6372,Left
19474,Right,6372,Left
19474,Right,6372,Left
19760,Right,6297,Left
19474,Right,6372,Left
17696,Failed,6441,Left
19470,Right,6371,Left
28417,Right,6441,Left
19737,Failed,6302,Left
19474,Right,6372,Left
21542,Right,6300,Left
18609,Failed,5798,Left
28418,Right,6441,Left
26694,Right,6150,Left
21080,Right,5810,Left
17975,Right,5065,Left
19474,Right,6372,Left
21542,Right,6300,Left
22197,Failed,6440,Left
24071,Failed,6150,Left
26093,Failed,6150,Left
23397,Failed,6441,Left
17975,Failed,5065,Left
19739,Right,6302,Left
26694,Right,6150,Left
17976,Right,5066,Left
21149,Right,5879,Left
17976,Right,5065,Left
8758,Failed,6150,Left
21543,Right,6300,Left
19470,Right,6371,Left
21539,Right,6299,Left
17565,Failed,6296,Left
21539,Right,6297,Left
20713,Failed,6150,Left
19474,Right,6372,Left
17325,Failed,6296,Left
17978,Right,5068,Left
19760,Right,6297,Left
19760,Right,6297,Left
20060,Right,6304,Left
21149,Right,5879,Left
19760,Right,6297,Left
19474,Right,6372,Left
17977,Right,5066,Left
19739,Right,6302,Left
19761,Right,6297,Left
17977,Right,5066,Left
21543,Right,6300,Left
19474,Right,6372,Left
18420,Right,4667,Left
19475,Right,6372,Left
19761,Right,6297,Left
21542,Right,6298,Left
18223,Failed,5148,Left
17683,Failed,5850,Left
15390,Failed,6302,Left
19733,Right,6300,Left
21544,Right,6300,Left
21078,Right,5810,Left
19470,Right,6371,Left
15244,Right,1786,Left
17243,Right,2000,Left
17094,Failed,4716,Left
19613,Right,6155,Left
18111,Right,4666,Left
17831,Failed,4923,Left
21898,Right,4716,Left
17982,Right,6349,Left
14529,Right,2152,Left
17334,Right,4041,Left
13878,Right,2001,Left
17244,Failed,2625,Left
11380,Failed,2001,Left
14049,Right,1810,Left
11907,Failed,1639,Left
18728,Right,5144,Left
26329,Right,5849,Left
19738,Right,6302,Left
19734,Right,6300,Left
15198,Failed,6302,Left
12392,Failed,5851,Left
12178,Right,9,Left
14910,Right,1976,Left
18607,Failed,5797,Left
14659,Failed,5762,Left
17516,Failed,5762,Left
18510,Right,5701,Left
13728,Failed,5812,Left
14360,Failed,5797,Left
22094,Right,5812,Left
22095,Right,5813,Left
21425,Failed,5813,Left
22959,Right,5763,Left
24963,Right,5813,Left
22097,Right,5813,Left
21036,Right,5764,Left
22098,Right,5813,Left
22097,Right,5813,Left
8952,Right,5813,Left
22097,Right,5813,Left
22439,Failed,5813,Left
22094,Right,5812,Left
22097,Right,5813,Left
17457,Failed,5813,Left
22957,Right,5763,Left
15055,Failed,5701,Left
22955,Right,5762,Left
22094,Right,5812,Left
22958,Right,5763,Left
13399,Failed,5797,Left
20102,Right,4883,Left
11931,Failed,3699,Left
18082,Right,5173,Left
17749,Failed,4958,Left
21456,Failed,2774,Left
18078,Right,5172,Left
18221,Right,5146,Left
18050,Right,5142,Left
18079,Right,5172,Left
18729,Right,5144,Left
21081,Right,5810,Left
23350,Right,5764,Left
21078,Right,5809,Left
18555,Failed,5744,Left
21004,Right,5736,Left
13759,Failed,4863,Left
18555,Right,5744,Left
21006,Right,5736,Left
22955,Right,5762,Left
15040,Failed,5147,Left
21034,Right,5764,Left
17111,Failed,4850,Left
22955,Right,5762,Left
21079,Right,5810,Left
21000,Right,5732,Left
18609,Right,5797,Left
21035,Right,5764,Left
21005,Right,5736,Left
21035,Right,5764,Left
17608,Right,4617,Left
21033,Right,5763,Left
21080,Right,5810,Left
21314,Right,5733,Left
18554,Right,5744,Left
21080,Right,5810,Left
22955,Right,5763,Left
22955,Right,5762,Left
21000,Right,5732,Left
19261,Right,4861,Left
21032,Right,5763,Left
21078,Right,5809,Left
25856,Right,5813,Left
21348,Failed,5762,Left
22097,Right,5813,Left
17502,Right,4596,Left
17611,Right,4618,Left
22954,Right,5762,Left
21033,Right,5763,Left
21035,Right,5764,Left
18726,Right,5143,Left
18609,Right,5797,Left
18609,Right,5798,Left
22097,Right,5813,Left
17610,Right,4618,Left
22275,Right,5813,Left
18513,Right,5702,Left
22097,Right,5813,Left
22097,Right,5813,Left
21332,Right,5736,Left
21078,Right,5809,Left
18225,Right,5149,Left
21078,Right,5810,Left
21427,Right,5810,Left
22025,Right,5737,Left
22094,Right,5812,Left
21079,Right,5810,Left
18609,Right,5797,Left
20011,Failed,5809,Left
21003,Right,5736,Left
18222,Right,5147,Left
7283,Failed,5809,Left
21323,Right,5763,Left
22093,Right,5812,Left
17567,Failed,5813,Left
21079,Right,5810,Left
7706,Right,4617,Left
22954,Right,5762,Left
22957,Right,5763,Left
22792,Right,5809,Left
22957,Right,5763,Left
7746,Failed,5764,Left
21079,Right,5810,Left
5872,Failed,5745,Left
21080,Right,5810,Left
21079,Right,5810,Left
19755,Failed,5810,Left
22957,Right,5763,Left
18513,Right,5702,Left
18729,Right,5144,Left
21330,Right,5736,Left
21330,Right,5736,Left
22957,Right,5763,Left
22956,Right,5763,Left
21033,Right,5763,Left
19263,Right,4862,Left
18727,Right,5143,Left
19263,Right,4862,Left
22955,Right,5763,Left
18226,Right,5149,Left
22957,Right,5763,Left
26272,Right,5764,Left
22956,Right,5763,Left
21080,Right,5810,Left
18609,Right,5797,Left
18729,Right,5144,Left
19752,Failed,5810,Left
19264,Right,4862,Left
19262,Right,4862,Left
21077,Right,5809,Left
20102,Right,4883,Left
24358,Right,5764,Left
21080,Right,5810,Left
19263,Right,4862,Left
21004,Right,5736,Left
20100,Right,4883,Left
17749,Right,4958,Left
18514,Right,5702,Left
23475,Right,2774,Left
25552,Right,4665,Left
17003,Right,4960,Left
17609,Right,4617,Left
20096,Right,4883,Left
25551,Right,4664,Left
22123,Failed,4849,Left
22051,Right,4866,Left
20097,Right,4883,Left
19247,Right,4845,Left
25549,Right,4664,Left
5217,Failed,4844,Left
11791,Failed,4664,Left
20081,Failed,4850,Left
20291,Right,4852,Left
23472,Right,2774,Left
17970,Right,4896,Left
20100,Right,4883,Left
19247,Right,4844,Left
14779,Failed,4867,Left
17501,Right,4596,Left
25551,Right,4664,Left
21991,Right,4850,Left
17970,Right,4896,Left
25551,Right,4664,Left
19249,Right,4845,Left
13894,Failed,4852,Left
17609,Right,4617,Left
17003,Right,4960,Left
22051,Right,4866,Left
17502,Failed,4596,Left
21992,Right,4850,Left
17971,Right,4896,Left
23472,Right,2774,Left
19247,Right,4844,Left
21992,Right,4850,Left
19422,Failed,4850,Left
20102,Right,4884,Left
25550,Right,4664,Left
17504,Failed,4597,Left
17611,Right,4618,Left
14939,Failed,4866,Left
25550,Right,4664,Left
22049,Right,4866,Left
22451,Failed,4664,Left
22051,Right,4866,Left
19772,Failed,4866,Left
14573,Failed,4896,Left
20099,Right,4883,Left
17501,Right,4596,Left
20099,Right,4883,Left
21993,Right,4850,Left
19247,Right,4844,Left
23922,Right,4851,Left
17004,Right,4960,Left
17970,Right,4896,Left
17428,Right,4523,Left
17003,Right,4960,Left
17608,Right,4617,Left
20290,Right,4851,Left
22054,Right,4867,Left
17504,Right,4597,Left
17749,Failed,4959,Left
20102,Right,4883,Left
17430,Right,4524,Left
20245,Failed,4664,Left
23952,Right,4852,Left
17004,Right,4960,Left
19250,Right,4845,Left
19250,Right,4845,Left
21986,Right,4850,Left
25550,Right,4664,Left
20289,Right,4852,Left
25553,Right,4665,Left
20102,Right,4883,Left
17003,Right,4960,Left
25552,Right,4664,Left
25552,Right,4664,Left
17972,Right,4896,Left
22052,Right,4867,Left
17003,Right,4960,Left
20101,Right,4883,Left
22054,Right,4867,Left
17750,Failed,4959,Left
17750,Right,4958,Left
17751,Failed,4959,Left
17750,Right,4959,Left
17750,Failed,4959,Left
17611,Right,4617,Left
17005,Right,4960,Left
11524,Failed,4665,Left
17428,Right,4524,Left
17003,Right,4960,Left
20099,Right,4883,Left
17751,Failed,4959,Left
19247,Right,4844,Left
17003,Failed,4960,Left
17972,Right,4896,Left
25552,Right,4664,Left
17972,Right,4896,Left
17502,Failed,4596,Left
19298,Failed,2774,Left
17972,Right,4896,Left
17750,Right,4959,Left
17005,Right,4960,Left
24471,Failed,4665,Left
17612,Right,4618,Left
17502,Right,4596,Left
22054,Right,4867,Left
20101,Right,4883,Left
11558,Failed,4867,Left
25551,Right,4664,Left
17970,Failed,4896,Left
16437,Failed,4851,Left
20098,Right,4883,Left
17970,Right,4896,Left
13003,Failed,4849,Left
17749,Right,4958,Left
17969,Right,4896,Left
21804,Failed,4664,Left
19246,Right,4844,Left
19246,Right,4843,Left
17609,Right,4617,Left
22051,Right,4866,Left
17609,Right,4617,Left
17002,Right,4960,Left
22050,Right,4866,Left
17004,Right,4960,Left
17608,Right,4617,Left
17503,Right,4597,Left
17611,Right,4617,Left
25552,Right,4664,Left
21990,Right,4849,Left
17969,Right,4896,Left
20291,Right,4852,Left
16413,Failed,4851,Left
17968,Failed,4896,Left
17003,Right,4960,Left
25653,Right,4851,Left
17428,Failed,4524,Left
21668,Failed,4852,Left
23472,Right,2774,Left
17971,Right,4896,Left
6816,Failed,4597,Left
22660,Right,4850,Left
21991,Right,4849,Left
17747,Failed,4958,Left
17751,Right,4959,Left
20292,Right,4851,Left
20292,Right,4852,Left
17503,Failed,4597,Left
13001,Failed,4851,Left
17610,Right,4618,Left
17004,Right,4960,Left
13666,Failed,2774,Left
17503,Right,4597,Left
20293,Right,4852,Left
17610,Failed,4618,Left
21995,Right,4850,Left
17612,Right,4618,Left
17504,Right,4597,Left
20293,Right,4852,Left
22054,Right,4867,Left
9870,Failed,4524,Left
22050,Right,4866,Left
19246,Right,4844,Left
17970,Right,4896,Left
20291,Right,4852,Left
14608,Failed,4896,Left
22051,Right,4866,Left
15239,Failed,4664,Left
15152,Failed,4958,Left
10213,Failed,4866,Left
20099,Right,4883,Left
20099,Right,4883,Left
13663,Failed,4664,Left
21990,Right,4850,Left
25549,Right,4664,Left
17003,Right,4960,Left
17597,Failed,4617,Left
17004,Right,4960,Left
24348,Failed,4664,Left
17003,Right,4960,Left
19248,Right,4844,Left
24211,Right,4851,Left
17003,Right,4960,Left
23472,Right,2774,Left
20290,Right,4851,Left
22050,Right,4866,Left
17501,Right,4597,Left
17748,Right,4958,Left
17969,Right,4896,Left
17609,Right,4617,Left
21990,Right,4849,Left
25549,Right,4664,Left
19247,Right,4843,Left
25548,Right,4664,Left
21993,Right,4849,Left
20100,Right,4883,Left
19699,Failed,4866,Left
17970,Failed,4896,Left
17609,Right,4617,Left
20290,Right,4851,Left
17501,Right,4596,Left
17969,Right,4896,Left
17609,Right,4617,Left
17608,Right,4617,Left
20291,Right,4852,Left
17749,Right,4959,Left
17429,Right,4524,Left
17429,Right,4524,Left
17749,Right,4958,Left
17749,Right,4958,Left
17609,Right,4617,Left
17969,Right,4896,Left
14436,Failed,4844,Left
17609,Right,4617,Left
17969,Right,4896,Left
21991,Right,4850,Left
17970,Right,4896,Left
17970,Failed,4896,Left
22961,Right,4850,Left
14939,Failed,4866,Left
11934,Failed,4896,Left
17610,Failed,4618,Left
18729,Right,5144,Left
22952,Right,5762,Left
21002,Right,5736,Left
23237,Right,5764,Left
18555,Right,5744,Left
19266,Right,4863,Left
22768,Right,5763,Left
21000,Right,5733,Left
21035,Right,5764,Left
22094,Right,5812,Left
22094,Right,5812,Left
18512,Right,5701,Left
21033,Right,5763,Left
19251,Right,4862,Left
21076,Right,5809,Left
22952,Right,5762,Left
21034,Right,5764,Left
21035,Right,5764,Left
21078,Right,5809,Left
14082,Failed,4850,Left
11943,Failed,4664,Left
12279,Right,4884,Left
20290,Right,4852,Left
21992,Right,4850,Left
16161,Failed,4960,Left
25550,Right,4664,Left
17748,Right,4958,Left
17004,Right,4960,Left
20099,Right,4883,Left
25548,Right,4664,Left
17634,Failed,4959,Left
13085,Failed,4883,Left
19247,Right,4844,Left
15729,Failed,4960,Left
21990,Right,4850,Left
19247,Right,4844,Left
20291,Right,4852,Left
24684,Failed,4664,Left
17749,Right,4958,Left
17749,Failed,4958,Left
15453,Failed,4851,Left
25246,Right,4851,Left
11004,Failed,4960,Left
20293,Right,4852,Left
8061,Right,4960,Left
21990,Right,4849,Left
17748,Right,4958,Left
17969,Right,4896,Left
20099,Right,4883,Left
21989,Right,4849,Left
17610,Right,4617,Left
17501,Right,4595,Left
17749,Failed,4958,Left
17004,Right,4960,Left
20103,Right,4883,Left
17005,Failed,4960,Left
25554,Right,4664,Left
19249,Right,4845,Left
20101,Right,4883,Left
5508,Failed,4844,Left
17500,Right,4595,Left
17429,Right,4524,Left
20103,Right,4884,Left
17750,Right,4959,Left
17609,Right,4617,Left
20100,Right,4883,Left
17973,Right,4897,Left
17504,Right,4597,Left
20104,Right,4884,Left
14796,Failed,4867,Left
20293,Right,4852,Left
14899,Failed,4850,Left
25551,Right,4664,Left
17004,Right,4960,Left
20102,Right,4883,Left
17970,Right,4896,Left
17427,Right,4523,Left
24327,Right,4850,Left
17501,Right,4596,Left
21993,Right,4850,Left
22050,Right,4866,Left
25551,Right,4664,Left
17003,Right,4960,Left
25964,Right,4850,Left
17003,Right,4960,Left
19248,Right,4844,Left
17748,Right,4958,Left
15874,Failed,4959,Left
19248,Right,4845,Left
17501,Right,4596,Left
23472,Right,2774,Left
25550,Right,4664,Left
22051,Right,4866,Left
17431,Right,4525,Left
25554,Right,4665,Left
19249,Right,4844,Left
20100,Right,4883,Left
19240,Right,4844,Left
17428,Failed,4524,Left
16476,Failed,4866,Left
20102,Right,4883,Left
17501,Failed,4596,Left
17501,Right,4597,Left
17971,Failed,4896,Left
15466,Failed,4958,Left
17607,Right,4617,Left
20100,Right,4883,Left
21995,Right,4850,Left
20102,Right,4883,Left
21155,Failed,4850,Left
19249,Right,4845,Left
19249,Right,4844,Left
20102,Right,4883,Left
17611,Right,4618,Left
17609,Right,4617,Left
25550,Right,4664,Left
17004,Right,4960,Left
18625,Failed,4845,Left
17611,Right,4617,Left
22052,Right,4866,Left
17500,Right,4596,Left
20292,Right,4852,Left
21991,Right,4850,Left
21991,Right,4850,Left
22050,Right,4866,Left
19246,Right,4844,Left
17003,Right,4960,Left
15256,Right,2308,Left
17608,Right,4617,Left
25549,Right,4664,Left
20099,Right,4883,Left
17970,Right,4896,Left
17970,Failed,4896,Left
17970,Right,4896,Left
17004,Right,4960,Left
19247,Right,4844,Left
11559,Failed,4867,Left
22053,Right,4867,Left
25554,Right,4664,Left
11372,Right,8,Left
19799,Right,2111,Left
17386,Right,2111,Left
24247,Right,2108,Left
19769,Right,2110,Left
2966,Right,12,Left
17388,Right,2111,Left
24252,Right,2109,Left
24253,Right,2109,Left
3350,Right,14,Left
9657,Right,8,Left
24249,Right,2109,Left
24362,Right,2146,Left
