Unit Number,DegreesC,Current (mA),Hours,Relative Change
110,114,30,834,0.85941
110,114,30,906,0.84909
111,114,30,138,1
111,114,30,234,0.96916
111,114,30,330,0.95368
111,114,30,402,0.94794
111,114,30,498,0.93853
111,114,30,570,0.90903
111,114,30,666,0.90984
111,114,30,738,0.89479
111,114,30,834,0.88422
111,114,30,906,0.87406
112,114,30,138,1
112,114,30,234,0.96962
112,114,30,330,0.94438
112,114,30,402,0.93521
112,114,30,498,0.91542
112,114,30,570,0.89882
112,114,30,666,0.88963
112,114,30,738,0.8747
112,114,30,834,0.85841
112,114,30,906,0.84939
113,114,30,138,1
113,114,30,234,0.96723
113,114,30,330,0.94478
113,114,30,402,0.93336
113,114,30,498,0.91884
113,114,30,570,0.9021
113,114,30,666,0.89157
113,114,30,738,0.87772
113,114,30,834,0.86532
113,114,30,906,0.85135
114,114,30,138,1
114,114,30,234,0.97483
114,114,30,330,0.95247
114,114,30,402,0.94106
114,114,30,498,0.92492
114,114,30,570,0.91055
114,114,30,666,0.89302
114,114,30,738,0.88159
114,114,30,834,0.86898
114,114,30,906,0.85371
115,114,30,138,1
115,114,30,234,0.96956
115,114,30,330,0.94433
115,114,30,402,0.93281
115,114,30,498,0.90923
115,114,30,570,0.89754
115,114,30,666,0.87754
115,114,30,738,0.87207
115,114,30,834,0.85014
115,114,30,906,0.8273
116,114,30,138,1
116,114,30,234,0.97255
116,114,30,330,0.94499
116,114,30,402,0.94099
116,114,30,498,0.91735
116,114,30,570,0.90873
116,114,30,666,0.89331
116,114,30,738,0.8847
116,114,30,834,0.86332
116,114,30,906,0.85498
117,114,30,138,1
117,114,30,234,0.968
117,114,30,330,0.94132
117,114,30,402,0.93188
117,114,30,498,0.91045
117,114,30,570,0.89521
117,114,30,666,0.88477
117,114,30,738,0.86946
117,114,30,834,0.85027
117,114,30,906,0.8408
118,114,30,138,1
118,114,30,234,0.96884
118,114,30,330,0.94737
118,114,30,402,0.93286
118,114,30,498,0.91788
118,114,30,570,0.89767
118,114,30,666,0.88779
118,114,30,738,0.87371
118,114,30,834,0.85691
118,114,30,906,0.84186
119,114,30,138,1
119,114,30,234,0.97155
119,114,30,330,0.9513
119,114,30,402,0.93821
119,114,30,498,0.92086
119,114,30,570,0.90945
119,114,30,666,0.89055
119,114,30,738,0.88078
119,114,30,834,0.86641
119,114,30,906,0.85054
120,114,30,138,1
120,114,30,234,0.98159
120,114,30,330,0.95617
120,114,30,402,0.94766
120,114,30,498,0.92916
120,114,30,570,0.90858
120,114,30,666,0.88861
120,114,30,738,0.8841
120,114,30,834,0.86584
120,114,30,906,0.84667
121,77,40,138,1
121,77,40,234,0.96931
121,77,40,330,0.9496
121,77,40,402,0.93037
121,77,40,498,0.91841
121,77,40,570,0.90858
121,77,40,666,0.89607
121,77,40,738,0.8882
121,77,40,834,0.8751
121,77,40,906,0.86761
122,77,40,138,1
122,77,40,234,0.96926
122,77,40,330,0.94585
122,77,40,402,0.92921
122,77,40,498,0.91505
122,77,40,570,0.90663
122,77,40,666,0.89141
122,77,40,738,0.881
122,77,40,834,0.87303
122,77,40,906,0.86485
123,77,40,138,1
123,77,40,234,0.96161
123,77,40,330,0.9379
123,77,40,402,0.92857
123,77,40,498,0.91329
123,77,40,570,0.8985
123,77,40,666,0.88141
123,77,40,738,0.87229
123,77,40,834,0.8634
123,77,40,906,0.8526
124,77,40,138,1
124,77,40,234,0.96955
124,77,40,330,0.94824
124,77,40,402,0.93273
124,77,40,498,0.91953
124,77,40,570,0.90802
124,77,40,666,0.89367
124,77,40,738,0.88591
124,77,40,834,0.87227
124,77,40,906,0.8623
125,77,40,138,1
125,77,40,234,0.96761
125,77,40,330,0.94739
125,77,40,402,0.92699
125,77,40,498,0.91334
125,77,40,570,0.90274
125,77,40,666,0.88972
125,77,40,738,0.87953
125,77,40,834,0.86538
125,77,40,906,0.86037
126,77,40,138,1
126,77,40,234,0.94515
126,77,40,330,0.93416
126,77,40,402,0.9135
126,77,40,498,0.90117
126,77,40,570,0.88767
126,77,40,666,0.87586
126,77,40,738,0.8563
126,77,40,834,0.85234
126,77,40,906,0.84448
127,77,40,138,1
127,77,40,234,0.98574
127,77,40,330,0.96152
127,77,40,402,0.94678
127,77,40,498,0.93056
127,77,40,570,0.91933
127,77,40,666,0.90595
127,77,40,738,0.89302
127,77,40,834,0.88437
127,77,40,906,0.87618
128,77,40,138,1
128,77,40,234,0.96767
128,77,40,330,0.9436
128,77,40,402,0.92703
128,77,40,498,0.91123
128,77,40,570,0.90236
128,77,40,666,0.88857
128,77,40,738,0.87857
128,77,40,834,0.86627
128,77,40,906,0.85847
129,77,40,138,1
129,77,40,234,0.96936
129,77,40,330,0.94939
129,77,40,402,0.93586
129,77,40,498,0.92279
129,77,40,570,0.91146
129,77,40,666,0.89749
129,77,40,738,0.88776
129,77,40,834,0.87569
129,77,40,906,0.86793
130,77,40,138,1
130,77,40,234,0.96874
130,77,40,330,0.94542
130,77,40,402,0.92775
130,77,40,498,0.91658
130,77,40,570,0.90565
130,77,40,666,0.89315
130,77,40,738,0.88453
130,77,40,834,0.87493
130,77,40,906,0.86924
131,77,40,138,1
131,77,40,234,0.9678
131,77,40,330,0.94363
131,77,40,402,0.92595
131,77,40,498,0.91424
131,77,40,570,0.90449
131,77,40,666,0.89072
131,77,40,738,0.883
131,77,40,834,0.87612
131,77,40,906,0.86903
132,77,40,138,1
132,77,40,234,0.96938
132,77,40,330,0.94288
132,77,40,402,0.92484
132,77,40,498,0.90777
132,77,40,570,0.89887
132,77,40,666,0.88546
132,77,40,738,0.87511
132,77,40,834,0.86798
132,77,40,906,0.85662
133,77,40,138,1
133,77,40,234,0.96532
133,77,40,330,0.94312
133,77,40,402,0.92304
133,77,40,498,0.90377
133,77,40,570,0.89505
133,77,40,666,0.87869
133,77,40,738,0.86835
133,77,40,834,0.8552
133,77,40,906,0.8454
134,77,40,138,1
134,77,40,234,0.96897
134,77,40,330,0.94705
134,77,40,402,0.92585
134,77,40,498,0.90961
134,77,40,570,0.90066
134,77,40,666,0.88654
134,77,40,738,0.87803
134,77,40,834,0.86417
134,77,40,906,0.85655
135,77,40,138,1
135,77,40,234,0.97214
135,77,40,330,0.94696
135,77,40,402,0.92763
135,77,40,498,0.91516
135,77,40,570,0.90356
135,77,40,666,0.88948
135,77,40,738,0.87981
135,77,40,834,0.86817
135,77,40,906,0.86327
136,77,40,138,1
136,77,40,234,0.97981
136,77,40,330,0.95355
136,77,40,402,0.93439
136,77,40,498,0.91747
136,77,40,570,0.90501
136,77,40,666,0.89267
136,77,40,738,0.88127
136,77,40,834,0.87112
136,77,40,906,0.86532
137,77,40,138,1
137,77,40,234,0.97039
137,77,40,330,0.9443
137,77,40,402,0.92781
137,77,40,498,0.91015
137,77,40,570,0.90022
137,77,40,666,0.88551
137,77,40,738,0.87621
137,77,40,834,0.86763
137,77,40,906,0.86147
138,77,40,138,1
138,77,40,234,0.96768
138,77,40,330,0.9466
138,77,40,402,0.92873
138,77,40,498,0.91437
138,77,40,570,0.9051
138,77,40,666,0.88868
138,77,40,738,0.86669
138,77,40,834,0.85692
138,77,40,906,0.84779
139,77,40,138,1
139,77,40,234,0.96046
139,77,40,330,0.93584
139,77,40,402,0.92092
139,77,40,498,0.91017
139,77,40,570,0.89994
139,77,40,666,0.88453
139,77,40,738,0.8604
139,77,40,834,0.85135
139,77,40,906,0.84982
140,77,40,138,1
140,77,40,234,0.97022
140,77,40,330,0.94435
140,77,40,402,0.92611
140,77,40,498,0.90868
140,77,40,570,0.89867
140,77,40,666,0.88646
140,77,40,738,0.8721
140,77,40,834,0.8607
140,77,40,906,0.8627
141,77,40,138,1
141,77,40,234,0.97729
141,77,40,330,0.96302
141,77,40,402,0.95097
141,77,40,498,0.92101
141,77,40,570,0.91158
141,77,40,666,0.91528
141,77,40,738,0.89697
141,77,40,834,0.89591
141,77,40,906,0.89183
142,77,40,138,1
142,77,40,234,0.971
142,77,40,330,0.94674
142,77,40,402,0.9298
142,77,40,498,0.91172
142,77,40,570,0.90239
142,77,40,666,0.89023
142,77,40,738,0.88023
142,77,40,834,0.87314
142,77,40,906,0.86648
143,77,40,138,1
143,77,40,234,0.97097
143,77,40,330,0.9514
143,77,40,402,0.93206
143,77,40,498,0.91569
143,77,40,570,0.90781
143,77,40,666,0.89363
143,77,40,738,0.88121
143,77,40,834,0.86861
143,77,40,906,0.86077
144,77,40,138,1
144,77,40,234,0.97215
144,77,40,330,0.94762
144,77,40,402,0.92672
144,77,40,498,0.91349
144,77,40,570,0.90248
144,77,40,666,0.89167
144,77,40,738,0.87948
144,77,40,834,0.86651
144,77,40,906,0.86283
145,77,40,138,1
145,77,40,234,0.96861
145,77,40,330,0.93983
145,77,40,402,0.91504
145,77,40,498,0.89682
145,77,40,570,0.88811
145,77,40,666,0.87603
145,77,40,738,0.86864
145,77,40,834,0.85221
145,77,40,906,0.84552
146,77,40,138,1
146,77,40,234,0.96829
146,77,40,330,0.94256
146,77,40,402,0.92565
146,77,40,498,0.90823
146,77,40,570,0.90042
146,77,40,666,0.88401
146,77,40,738,0.8749
146,77,40,834,0.86551
146,77,40,906,0.85817
147,77,40,138,1
147,77,40,234,0.97096
147,77,40,330,0.94977
147,77,40,402,0.93348
147,77,40,498,0.91508
147,77,40,570,0.90953
147,77,40,666,0.89539
147,77,40,738,0.88391
147,77,40,834,0.87736
147,77,40,906,0.86774
148,77,40,138,1
148,77,40,234,0.97317
148,77,40,330,0.94987
148,77,40,402,0.93134
148,77,40,498,0.91193
148,77,40,570,0.90259
148,77,40,666,0.88847
148,77,40,738,0.87635
148,77,40,834,0.86682
148,77,40,906,0.85927
149,77,40,138,1
149,77,40,234,0.97112
149,77,40,330,0.94328
149,77,40,402,0.92486
149,77,40,498,0.90738
149,77,40,570,0.8942
149,77,40,666,0.88152
149,77,40,738,0.87057
149,77,40,834,0.85818
149,77,40,906,0.8565
150,77,40,138,1
150,77,40,234,0.98369
150,77,40,330,0.95112
150,77,40,402,0.92964
150,77,40,498,0.89787
150,77,40,570,0.88874
150,77,40,666,0.88213
150,77,40,738,0.86817
150,77,40,834,0.85288
150,77,40,906,0.85477
